Temperature,HeartRate,HRV,SleepIndex,Tindex
35.04,59.50,0.00,1,1
35.16,59.50,0.00,1,1
34.89,59.50,0.00,1,1
35.29,59.50,0.00,1,1
35.57,59.50,0.00,1,1
35.72,50.00,5.85,0,1
36.06,60.00,5.85,0,0
36.56,59.50,5.85,0,0
36.58,60.50,5.85,0,0
36.57,60.00,5.85,0,0
36.59,60.50,0.00,0,0
36.86,59.50,0.00,1,0
36.96,60.50,0.00,0,0
36.98,60.00,0.00,0,0
36.77,60.00,0.00,0,0
36.98,60.00,0.00,0,0
37.00,60.50,0.00,0,0
36.81,60.00,0.00,0,0
36.83,60.00,0.00,0,0
36.80,59.50,0.00,1,0
36.78,61.02,0.00,0,0
36.80,61.02,0.00,0,0
36.81,61.02,0.00,0,0
36.77,61.02,0.00,0,0
36.96,61.02,0.00,0,0
36.88,61.02,0.00,0,0
36.92,61.02,0.00,0,0
36.80,61.02,0.00,0,0
36.93,61.02,0.00,0,0
36.96,61.02,0.00,0,0
36.99,61.02,0.00,0,0
37.12,61.02,0.00,0,0
37.04,61.02,0.00,0,0
37.03,61.02,0.00,0,0
37.03,61.02,0.00,0,0
37.21,61.02,0.00,0,0
36.92,61.02,0.00,0,0
37.15,61.02,0.00,0,0
37.33,61.02,0.00,0,0
37.15,61.02,0.00,0,0
37.00,61.02,0.00,0,0
37.15,61.02,0.00,0,0
37.26,50.00,1.01,0,0
37.19,60.50,1.01,0,0
37.17,60.00,1.01,0,0
37.17,59.50,1.01,0,0
37.12,60.00,1.01,0,0
37.08,61.02,0.00,0,0
37.12,60.00,0.00,0,0
37.03,59.50,0.00,1,0
37.18,60.00,0.00,0,0
37.09,60.00,0.00,0,0
37.13,61.02,0.00,0,0
36.98,59.50,0.00,1,0
37.16,60.00,0.00,0,0
37.13,60.00,0.00,0,0
37.11,60.50,0.00,0,0
37.11,60.00,0.00,0,0
37.04,60.00,0.00,0,0
36.95,60.00,0.00,0,0
37.04,60.50,0.00,0,0
37.31,59.50,0.00,1,0
37.06,60.50,0.00,0,0
37.03,60.00,0.00,0,0
37.17,59.50,0.00,1,0
37.18,60.50,0.00,0,0
